	Cell name	E_rest_0	Input resistance	Cell capacitance	sagSS_m50	sagV_m50	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_time_1.5e-10	APp_time_1.5e-10	APavgpratio_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10	Upstroke_AP1_time_1.5e-10	Upstroke_APp_time_1.5e-10	Upstroke_AP1_amp_1.5e-10	Upstroke_APp_amp_1.5e-10	Upstroke_AP1_value_1.5e-10	Upstroke_APp_value_1.5e-10	Downstroke_AP1_time_1.5e-10	Downstroke_APp_time_1.5e-10	Downstroke_AP1_amp_1.5e-10	Downstroke_APp_amp_1.5e-10	Downstroke_AP1_value_1.5e-10	Downstroke_APp_value_1.5e-10	UpDn_AP1_ratio_1.5e-10	UpDn_APp_ratio_1.5e-10	UpThr_AP1_diff_1.5e-10	UpThr_APp_diff_1.5e-10	offset_1.5e-10	Absoffset_1.5e-10	AP1_amp_3e-10	APp_amp_3e-10	AP1_time_3e-10	APp_time_3e-10	APavgpratio_amp_3e-10	AP1_width_3e-10	APp_width_3e-10	AP1_thresh_3e-10	APp_thresh_3e-10	AP1_lat_3e-10	ISI1_3e-10	ISIl_3e-10	ISIavg_3e-10	freq_3e-10	Adptn_id_3e-10	mAHP_stimend_amp_3e-10	sAHP_stimend_amp_3e-10	AHP_AP1_amp_3e-10	AHP_APp_amp_3e-10	AHP_AP1_time_3e-10	AHP_APp_time_3e-10	Upstroke_AP1_time_3e-10	Upstroke_APp_time_3e-10	Upstroke_AP1_amp_3e-10	Upstroke_APp_amp_3e-10	Upstroke_AP1_value_3e-10	Upstroke_APp_value_3e-10	Downstroke_AP1_time_3e-10	Downstroke_APp_time_3e-10	Downstroke_AP1_amp_3e-10	Downstroke_APp_amp_3e-10	Downstroke_AP1_value_3e-10	Downstroke_APp_value_3e-10	UpDn_AP1_ratio_3e-10	UpDn_APp_ratio_3e-10	UpThr_AP1_diff_3e-10	UpThr_APp_diff_3e-10	offset_3e-10	Absoffset_3e-10	freq300to150ratio
0	2017_11_17_2.abf	-0.068115234375	156941753.70428085	1.4618599548640395e-10	-0.0740966796875	0.0018046072164640409	0.11120605850219727	0.103485107421875	0.0209025550638766	0.4106622990574765	1.0241395237393098	0.0008943341411700861	0.0010786095654172212	-0.017747586937642883	0.03344039639522033	0.020576098944982968	0.011550288757218932	0.050301257531438215	0.033850846271156775	28.0	0.7703777335984092	-0.001251220703125	-0.002288818359375	0.0159606896340847	0.0216064415872097	0.00205	0.02055	-0.0002500062501562539	-0.00035000875021878874	0.06827517700241878	0.06826681518554688	325.91961669921875	184.3215789794922	0.0006500162504062545	0.0004500112502812126	0.06826535034156404	0.06828515625	248.4068603515625	116.87938690185547	1.3120394945144653	1.5770238637924194	0.01775494167443667	-0.033441403475298455	0.0196227990090847	-0.0486450232565403	0.11019897842407227	0.09643554878234864	0.00650219505487637	0.4629636065901647	1.025113903775437	0.0008454230150785474	0.0015584855122748875	0.013408634692911666	0.02544904092378252	0.0062985140898359215	0.005800145003625093	0.03290082252056303	0.020390093085660473	50.0	0.8237082066869301	-0.00091552734375	-0.002044677734375	0.0180664025247097	0.0265197716653347	0.002	0.0089	-0.0002500062501562539	-0.0004500112502812126	0.06951721191394608	0.06952313232421875	323.4782409667969	100.70549011230469	0.0006000150003750149	0.0014500362509063391	0.06951913452149165	0.06950653076078743	177.30271911621094	-26.854816436767578	1.824440360069275	-3.74999737739563	-0.013410465747715587	-0.025444951568313764	0.0237731896340847	-0.0457458533346653	1.7857142857142858
1	2017_11_17_6.abf	-0.06268310546875	185119675.4695374	8.924980372914176e-10	-0.068145751953125	0.003610231820351875	0.10272216796875	0.09136963081359864	0.006052183804595115	0.4517633265831646	1.039671905484471	0.0006816997642309086	0.0009406117505879052	-0.04155771344011612	0.004265801050719355	0.0056809853576096775	0.0055001375034375855	0.04545113627840691	0.028891898768057436	36.0	0.8789878987898789	-0.000518798828125	-0.001373291015625	0.009704586118459702	0.0166320763528347	0.00165	0.02335	-0.0002500062501562539	-0.00030000750018754907	0.06404608154203743	0.064056396484375	347.8917236328125	166.92698669433594	0.0004500112502812542	0.0004500112502812126	0.064057373046875	0.06406729126069695	5.187858581542969	96.73828887939453	67.05883026123047	1.7255524396896362	0.041547398497778554	-0.004265801050719359	0.013763424009084702	-0.0502929724752903	0.1024169921875	0.08251953125	0.0034021175529388298	0.46771372534313355	1.0441795719304734	0.0006795993410080164	0.0015840790253354164	0.034598145684843255	0.01415317524923733	0.003357701082143047	0.004850121253031317	0.0244006100152504	0.019548488712217805	52.0	0.8012295081967218	-0.00115966796875	-0.00115966796875	0.012359615415334702	0.0230407677590847	0.0017	0.0071	-0.0002000050001250142	-0.0005500137503436919	0.065703857421875	0.0657032470703125	346.0606994628906	62.254302978515625	0.0004500112502812542	0.0016500412510312978	0.06570788574242033	0.06569161987211555	6.103363037109375	-19.835926055908203	56.70000076293945	-3.1384620666503906	-0.03459863396609326	-0.014154273882049831	0.0195617638528347	-0.0461425818502903	1.4444444444444444
2	2017_11_20_4.abf	-0.066650390625	137508943.4419713	1.4742631743615147e-10	-0.0723876953125	0.0020536698283485644	0.10638427734375	0.09872436714172364	0.012552346308657716	0.43291285532138307	1.0232045010972854	0.0007892253458778448	0.0009861887873446884	-0.05285554095840692	-0.03950049804602692	0.011958781295207555	0.009900247506187662	0.057401435035875914	0.03412585314632866	30.0	0.8275261324041812	-0.00128173828125	-0.001922607421875	0.012603756040334702	0.0168762169778347	0.00205	0.01895	-0.0002500062501562539	-0.00035000875021873323	0.06760592651367188	0.06759671020507813	298.7596435546875	165.09597778320312	0.00040001000025001454	0.0006000150003749871	0.06760723877046257	0.06759860229492187	24.4134521484375	146.785888671875	12.23750114440918	1.1247401237487793	0.05286503192520381	0.03950077270423005	0.015411373227834702	-0.0521850623190403	0.105682373046875	0.09091186714172364	0.0048521538038450995	0.47146381909547735	1.0142866521003975	0.0007641937830951684	0.0013791297155452131	-0.007087007357980851	0.01968822458769601	0.00454939940349379	0.006750168754218855	0.028500712517812943	0.020629682408726882	50.0	0.7631578947368421	-0.00079345703125	-0.001861572265625	0.0158996544778347	0.0239562951028347	0.0019	0.01185	-0.00030000750018750744	-0.0004000100002499174	0.06948217773390934	0.06949349975632503	289.2994384765625	79.0385513305664	0.0004500112502812542	0.0012000300007500853	0.0694919128420297	0.06947988891601563	85.75225067138672	-18.92044448852539	3.3736658096313477	-4.177415370941162	0.007080659701265188	-0.019683250221995977	0.0209960900247097	-0.0484924353659153	1.6666666666666667
3	2017_12_20_1.abf	-0.068634033203125	191553648.15223	1.5866589953857233e-10	-0.07659912109375	0.002009323032611504	0.103607177734375	0.09280395698547364	0.0115523213080327	0.4419130803270082	1.0361253075442842	0.0008734654807827924	0.0010749226508801613	-0.01569757052609958	0.021181581174486604	0.01119624199285918	0.00755018875471887	0.034900872521813064	0.023263081577039428	42.0	0.7836676217765044	0.002899169921875	0.00018310546875	0.0167236290872097	0.0235900841653347	0.00215	0.02435	-0.0003500087502187471	-0.0004000100002500284	0.07032873535063118	0.07034207153314492	247.18621826171875	99.48482513427734	0.0007000175004375081	0.0009500237505937204	0.07033273315336555	0.07033053588774055	245.050048828125	17.39458465576172	1.0087172985076904	5.719298839569092	0.01568328829860577	-0.02118252721946668	0.0206298790872097	-0.0497131384909153	0.1046142578125	0.09323120307922364	0.004652148803720099	0.17500640766019154	0.9537152014379049	0.0008894608815955968	0.0015992824066558553	0.03153731291874271	0.019056605925480054	0.004579094268954184	0.005800145003625093	0.08660216505412632	0.01835403027932841	30.0	0.9330254041570438	0.004241943359375	0.001190185546875	0.0200500451028347	0.0300598107278347	0.0021	0.0159	-0.000350008750218761	-0.0005000125003125078	0.07161700439406558	0.07162933349609375	244.43971252441406	68.96800231933594	0.0006500162504062545	0.0013500337508437488	0.07161825561476871	0.07161593627929687	244.43971252441406	-21.97210693359375	1.0	-3.1388888359069824	-0.03154506438405213	-0.019052028288761305	0.0276184044778347	-0.0440063513815403	0.7142857142857143
4	2017_12_20_2.abf	-0.06951904296875	151297336.1188679	1.989275193894413e-10	-0.075592041015625	0.0015529039153183988	0.11599731826782227	0.106353759765625	0.021102560064001602	0.37791148028700716	1.0352080344332855	0.0009539289067502094	0.0009498496168998116	0.012403877724391426	0.01413975550194225	0.020875678299002526	0.022450561264031596	0.07630190754768867	0.04812342530785491	20.0	0.7057667103538663	0.00189208984375	-0.00054931640625	0.0166015587747097	0.0206909142434597	0.0116	0.02565	-0.0002500062501562539	-0.00030000750018749356	0.06988973999023437	0.06989419555664063	349.4175720214844	192.5611114501953	0.0007000175004375081	0.0006000150003750426	0.06988449096673867	0.06988565063479472	292.3511047363281	144.34454345703125	1.1951984167099	1.3340380191802979	-0.012399391640407056	-0.01413081385155162	0.0181884728372097	-0.0516967810690403	0.11614990615844727	0.09014892578125	0.009302265056626416	0.4024120928023201	1.1430376819566688	0.0009363663281188039	0.0009181777167552307	0.027615933388807717	-0.0164921088999346	0.00910225101888737	0.010150253756343916	0.07130178254456354	0.03317225787787551	30.0	0.8576437587657781	0.0018310546875	-0.000579833984375	0.0189514122903347	0.0311584435403347	0.0021	0.0254	-0.00030000750018750744	-0.00035000875021878874	0.07165155029273591	0.07165765380859375	326.8351135253906	69.5783462524414	0.0006000150003750149	0.0004000100002499729	0.071659423828125	0.07166171264695004	159.90811157226562	38.146026611328125	2.043893337249756	1.8239998817443848	-0.027619656533571804	0.016494489271028354	0.0240478478372097	-0.0476074256002903	1.5
5	2018_01_15_1.abf																																																																																				
6	2018_01_25_1.abf	-0.066925048828125	191013283.73090938	7.691021301344224e-11	-0.0748291015625	0.0011278126240454739	0.11166382217407227	0.099945068359375	0.008002232555813893	0.45916351158778973	1.0329770992366412	0.0007735447443147359	0.0008671880379373942	0.033039377641973226	-0.030656041529239553	0.00783726855299989	0.015850396259906502	0.0341508537713443	0.02554274383175369	40.0	0.5358711566617864	-0.000396728515625	-0.001007080078125	0.009460445493459702	0.015502925962209702	0.00215	0.00575	-0.00030000750018749356	-0.00035000875021873323	0.06801748657179997	0.06802410888674786	362.234619140625	171.1993408203125	0.000350008750218761	0.00035000875021873323	0.06804031372070313	0.06803628540132195	3.9671859741210938	69.57832336425781	91.30770111083984	2.460526943206787	-0.033045572710798256	0.030656468775362405	0.012390132993459702	-0.0556335486471653	0.11035156631469727	0.09207153511047364	0.002902105052626322	0.4792140128503212	1.031990407855684	0.0007705040228063315	0.0012010795249257633	-0.04851091181735137	-0.018914630842195242	0.002447022343488911	0.007850196254906364	0.017550438760969067	0.015433198329958247	66.0	0.5527065527065543	-0.00048828125	-0.000823974609375	0.013244625180959702	0.0193176232278347	0.00195	0.00675	-0.0002500062501562539	-0.0004000100002499174	0.06927410888666054	0.06927609252929688	358.57257080078125	94.60213470458984	0.0005000125003125078	0.0012500312507812694	0.06927758789085783	0.06925753784179688	57.98194885253906	-28.075489044189453	6.184210300445557	-3.369563102722168	0.04851011836026191	0.018915821027742127	0.0169982872903347	-0.0522766150534153	1.65
7	2018_01_25_2.abf	-0.0675048828125	122162283.82901569	1.9985154612832424e-10	-0.07305908203125	0.0010421962227007836	0.11453247451782227	0.10443115234375	0.010002282557063924	0.4430131078276957	1.0251142971946232	0.0006979913057830051	0.0008127102498927119	-0.05438865006651227	0.03520146071043539	0.009525409679165237	0.01595039875996901	0.03420085502137549	0.029200730018250454	34.0	0.5336257309941511	-0.000640869140625	-0.001129150390625	0.012054439634084702	0.015502925962209702	0.00205	0.0108	-0.00020000500012500033	-0.0002500062501562539	0.06827651977539062	0.06827874755952507	431.8129577636719	227.3502960205078	0.00040001000025001454	0.0004000100002500284	0.06827783203218132	0.06827789306733757	2.7465133666992188	101.62103271484375	157.22222900390625	2.237236738204956	0.0543973475762779	-0.03519053541653532	0.013305660337209702	-0.0549621619284153	0.11380005264282227	0.09625244331359864	0.0032021125528138156	0.4603135403385085	1.0332117740723727	0.000681609327256319	0.000997438068121026	-0.055306779648944294	-0.03517145749743871	0.0027543959078076136	0.008900222505562647	0.02210055251381282	0.017748591862944724	56.0	0.5972850678733024	-0.000701904296875	-0.00103759765625	0.014312740415334702	0.0218810997903347	0.00195	0.0087	-0.00020000500012500033	-0.00030000750018754907	0.06945565795898437	0.06946554565476254	423.26824951171875	129.69647216796875	0.00040001000025001454	0.0004000100002499174	0.06946875000093132	0.06946990966890007	4.8826904296875	53.70961380004883	86.68750762939453	2.4147720336914062	0.055304429795428656	0.03517899533970126	0.0175781212747097	-0.0518798865377903	1.6470588235294117
8	2018_02_13_1.abf	-0.0631103515625	115551244.26497266	1.5479160141492644e-10	-0.067901611328125	0.0008947497132486271	0.11404419326782227	0.10336304092407227	0.014352391309782747	0.43681295282382065	1.0333280914774103	0.0008216416130398807	0.0008915889135205912	0.04973293156659751	-0.041960824867239586	0.014340733536111872	0.007650191254781363	0.03535088377209428	0.02861321533038326	34.0	0.7835926449787836	0.00042724609375	-0.00103759765625	0.011199947446584702	0.0164184533059597	0.00195	0.0019	-0.00020000500012500033	-0.0002500062501562539	0.06372671508835628	0.0637316589364782	407.0943298339844	214.83839416503906	0.0005500137503437613	0.0004000100002499174	0.06372698974655941	0.06373724365234375	81.47989654541016	80.86954498291016	4.996254920959473	2.656604528427124	-0.04972691960324123	0.04197178067871779	0.0157775841653347	-0.0479431189596653	0.11325073623657227	0.09603882026672364	0.004402142553563845	0.46611368534213354	1.0352839006338597	0.0008012931805010254	0.0014341845110014129	-0.035309446415434056	0.03014168307180772	0.004008818350562479	0.005700142503562586	0.02260056501412533	0.019372484312107804	52.0	0.747787610619469	0.00067138671875	-0.000762939453125	0.012542720884084702	0.0221252404153347	0.0018	0.009	-0.0002500062501562539	-0.00035000875021873323	0.0648814697265625	0.06488659668015316	388.47906494140625	128.47579956054688	0.0005000125003125078	0.0004500112502813236	0.06488592529343441	0.06490017700381577	75.07136535644531	59.50779724121094	5.174797058105469	2.1589741706848145	0.03531054504824656	-0.030135457485404554	0.0193176232278347	-0.0455627478659153	1.5294117647058822
9	2018_02_13_2.abf	-0.0621032752096653	177847543.06866547	1.7732589455705043e-10	-0.068328857421875	0.003185590044058273	0.11264038467407227	0.09906005859375	0.0052521638040951	0.426312690317258	1.0339700015403575	0.0009588902516484143	0.0011560645729381536	0.04922955131206291	-0.040049502253489216	0.005201558121326874	0.008750218755468886	0.04540113502837562	0.03331869011010989	30.0	0.8072687224669599	-0.001190185546875	-0.001739501953125	0.010162349790334702	0.0157165490090847	0.002	0.01955	-0.0002500062501562539	-0.00035000875021884426	0.06309405517671257	0.06308709716843441	384.8170471191406	165.40115356445312	0.0006000150003750149	0.0004500112502812126	0.06308715820359066	0.06309735107421875	229.48646545410156	87.58326721191406	1.6768616437911987	1.888501763343811	-0.049215330119725335	0.04005676543754863	0.013488765805959702	-0.0495910681784153	0.11203003311157227	0.08990478706359864	0.002102085052126307	0.4294127678191955	1.0385946826503163	0.0009453536334795426	0.00157045897021868	-0.010579387343097435	0.024244579275760986	0.0018053241565746947	0.006500162504062601	0.04345108627715688	0.024776935212854	40.0	0.8504027617951667	-0.00164794921875	-0.002197265625	0.012115474790334702	0.0204772911965847	0.0021	0.01445	-0.0002500062501562539	-0.0004500112502813236	0.06412545776367187	0.06412210083007812	385.1222229003906	90.02460479736328	0.0005500137503437613	0.0005000125003125078	0.0641296081552282	0.0641327819833532	149.22726440429688	86.05741882324219	2.5807764530181885	1.046099305152893	0.010587413466144308	-0.024239910086307867	0.0182800255715847	-0.0458374060690403	1.3333333333333333
10	2018_02_13_3.abf	-0.0597839392721653	153403536.92019385	2.3860904955856087e-10	-0.065399169921875	0.002573745024424992	0.11557007589936256	0.10455323019623756	0.016652448811220286	0.4263626915672892	1.041155863932168	0.0009604070200702614	0.00107060825693861	0.013767008133642605	-0.019869597113270847	0.016438316462294808	0.013650341258531457	0.056151403785094645	0.038821803878430296	26.0	0.7569011576135354	-0.00128173828125	-0.002044677734375	0.010345458984375	0.017120361328125	0.00195	0.0023	-0.00020000500012500033	-0.0002500062501562539	0.06029251471348107	0.06028888311982155	418.6907043457031	228.2657928466797	0.000600015000375001	0.0004000100002500284	0.06028421393129975	0.06029828253574669	126.03448486328125	51.26824951171875	3.322032928466797	4.452381134033203	-0.013746713942326835	0.0198862597109271	0.01519775390625	-0.0450744666159153	0.11489868918061256	0.0972900427877903	0.005902180054501369	0.42261259781494537	1.050683498686653	0.0009361627267894662	0.00156827153053829	0.023503390948529962	-0.025724434222759083	0.005686943838279626	0.00635015875396884	0.0472011800295008	0.02577286654388582	38.0	0.8654661016949157	-0.0017089806497097015	-0.0020446740090847015	0.0128173828125	0.0232849158346653	0.00205	0.0139	-0.0002500062501562539	-0.00035000875021873323	0.062386539369821546	0.0623875769674778	417.4700622558594	139.4618377685547	0.0005500137503437613	0.0005000125003125078	0.06238931647036225	0.06239990607090294	90.02464294433594	90.02461242675781	4.63728666305542	1.5491523742675781	-0.023494784991498714	0.025734077777446587	0.019775390625	-0.0426025427877903	1.4615384615384615
